City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
176,Dalvik,65.9702,-18.5286,58.93,85,100,3.38,overcast clouds
177,Saskylakh,71.9167,114.0833,54.36,73,100,15.77,overcast clouds
178,Tuatapere,-46.1333,167.6833,56.82,66,87,5.14,overcast clouds
179,Lavrentiya,65.5833,-171.0,53.33,69,6,9.51,clear sky
180,Isangel,-19.55,169.2667,82.51,74,75,0.0,broken clouds
181,Sambava,-14.2667,50.1667,65.68,83,6,9.62,clear sky
182,Lagoa,39.05,-27.9833,69.78,95,91,11.7,overcast clouds
183,Faanui,-16.4833,-151.75,78.06,67,23,12.66,few clouds
184,Shingu,33.7333,135.9833,86.99,69,100,6.53,overcast clouds
185,Erzin,36.9559,36.2,82.0,89,13,1.05,few clouds
186,Leningradskiy,69.3833,178.4167,39.69,80,99,7.52,overcast clouds
187,Hachinohe,40.5,141.5,80.82,83,75,8.05,mist
188,Bluff,-46.6,168.3333,56.8,64,34,6.31,scattered clouds
189,Maceio,-9.6658,-35.7353,72.84,83,75,1.14,broken clouds
190,Yerbogachen,61.2767,108.0108,75.02,45,100,4.97,overcast clouds
191,Henties Bay,-22.116,14.2845,67.33,21,1,16.28,clear sky
192,Saveh,35.0213,50.3566,83.66,35,0,5.77,clear sky
193,Hoopstad,-27.8327,25.9083,29.79,41,0,6.89,clear sky
194,Meulaboh,4.1363,96.1285,80.98,75,91,4.05,overcast clouds
195,Cururupu,-1.8283,-44.8683,73.36,91,4,2.93,clear sky
196,Kottayam,9.5833,76.5167,75.22,90,100,3.96,overcast clouds
197,Havre-Saint-Pierre,50.2334,-63.5986,57.56,94,90,2.3,overcast clouds
198,Pascagoula,30.3658,-88.5561,84.25,89,1,3.44,clear sky
199,Chumikan,54.7183,135.315,62.83,82,99,9.75,overcast clouds
200,Vanimo,-2.6741,141.3028,76.71,93,100,3.76,heavy intensity rain
201,Ploemeur,47.7333,-3.4333,65.82,94,75,12.66,broken clouds
202,Provideniya,64.3833,-173.3,54.86,71,100,7.74,overcast clouds
203,Hambantota,6.1241,81.1185,79.14,89,75,12.66,broken clouds
204,Tsiroanomandidy,-18.7667,46.0333,54.41,76,12,1.25,few clouds
205,Tazovskiy,67.4667,78.7,50.45,81,100,22.64,overcast clouds
206,Gashua,12.871,11.0482,78.31,72,75,10.33,broken clouds
207,Santa Rosa,14.3122,121.1114,79.92,81,100,18.75,moderate rain
208,Beya,53.0533,90.9139,68.2,87,100,3.38,light rain
209,Namatanai,-3.6667,152.4333,84.79,69,45,7.45,scattered clouds
210,Tilichiki,60.4667,166.1,59.23,72,100,6.55,overcast clouds
211,Taoudenni,22.6783,-3.9836,96.3,24,23,5.44,few clouds
212,Yulara,-25.2406,130.9889,60.64,36,91,10.36,overcast clouds
213,Souillac,-20.5167,57.5167,68.36,94,75,6.91,broken clouds
214,Baniyas,35.1819,35.9487,75.49,80,61,5.12,broken clouds
215,Thompson,55.7435,-97.8558,66.36,59,75,19.57,smoke
216,Coihaique,-45.5752,-72.0662,39.15,81,75,8.05,broken clouds
217,Qandala,11.472,49.8728,89.46,45,91,23.89,overcast clouds
218,Montepuez,-13.1256,38.9997,63.07,77,69,13.0,broken clouds
219,Ornskoldsvik,63.2909,18.7153,49.82,87,44,5.75,scattered clouds
220,Mitsamiouli,-11.3847,43.2844,77.18,69,0,19.6,clear sky
221,Baillif,16.0202,-61.7463,78.3,80,59,12.59,broken clouds
222,Clyde,41.3042,-82.9752,75.61,82,83,7.92,broken clouds
223,Bilibino,68.0546,166.4372,61.77,50,96,12.39,overcast clouds
224,Fishers,39.9556,-86.0139,81.0,84,1,4.61,clear sky
225,Kaitangata,-46.2817,169.8464,53.92,51,14,5.64,few clouds
226,Lebu,-37.6167,-73.65,48.99,83,100,8.72,overcast clouds
227,Shelburne,44.0787,-80.2041,68.56,79,98,2.91,overcast clouds
228,Alice Springs,-23.7,133.8833,62.15,29,60,12.66,broken clouds
229,Bandiagara,14.3501,-3.6104,82.42,60,43,13.42,scattered clouds
230,Inirida,3.8653,-67.9239,72.88,98,100,2.28,overcast clouds
231,Jumla,29.2747,82.1838,64.99,95,92,2.53,overcast clouds
232,Katsuura,35.1333,140.3,87.84,69,10,8.95,clear sky
233,Cairo,30.0626,31.2497,79.56,39,0,9.22,clear sky
234,Hovd,48.0056,91.6419,74.16,42,1,0.38,clear sky
235,Sorland,67.667,12.6934,52.2,97,100,17.78,light rain
236,Kieta,-6.2167,155.6333,84.94,68,100,4.83,light rain
237,Douglas,41.3,-96.167,87.98,66,1,3.0,clear sky
238,Lerwick,60.1545,-1.1494,53.6,95,66,8.08,broken clouds
239,Coos Bay,43.3665,-124.2179,90.01,71,1,20.71,clear sky
240,Laguna,38.421,-121.4238,103.75,18,1,5.99,clear sky
241,Mongo,12.1844,18.693,77.92,73,84,1.95,broken clouds
242,San Quintin,30.4833,-115.95,70.43,80,96,9.66,overcast clouds
243,Along,28.1667,94.7667,83.89,78,26,0.78,scattered clouds
244,Okhotsk,59.3833,143.3,63.23,78,34,8.7,scattered clouds
245,Okato,-39.2,173.8833,58.42,73,17,4.29,few clouds
246,Beringovskiy,63.05,179.3167,52.68,87,100,7.52,overcast clouds
247,Gonda,27.1333,81.9333,84.81,77,22,13.18,few clouds
248,Margate,51.3813,1.3862,64.31,88,100,4.0,overcast clouds
249,Khulo,41.644,42.3129,57.13,93,78,1.52,broken clouds
250,Ambunti,-4.2365,142.8448,77.43,94,100,1.83,light rain
251,Xining,36.6167,101.7667,75.09,49,2,2.01,clear sky
252,Khatanga,71.9667,102.5,57.99,55,98,5.46,overcast clouds
253,Tadine,-21.55,167.8833,75.81,77,42,5.57,scattered clouds
254,Constitucion,-35.3333,-72.4167,52.38,81,86,3.49,overcast clouds
255,Ostrovnoy,68.0531,39.5131,43.29,95,100,25.32,overcast clouds
256,Baykit,61.67,96.37,78.17,49,35,2.53,scattered clouds
257,Kralendijk,12.15,-68.2667,82.38,83,40,11.5,scattered clouds
258,Kuldur,49.2167,131.6333,86.31,53,100,8.43,overcast clouds
259,Carnarvon,-24.8667,113.6333,62.67,56,91,11.5,overcast clouds
260,Ancud,-41.8697,-73.8203,38.73,80,0,7.76,clear sky
261,Upata,8.0086,-62.3989,71.49,97,92,3.13,overcast clouds
262,Poum,-20.2333,164.0167,74.16,78,0,8.81,clear sky
263,Pozo Colorado,-23.4923,-58.7972,70.48,34,0,6.22,clear sky
264,Hofn,64.2539,-15.2082,53.49,99,100,5.1,overcast clouds
265,Sao Joao Da Barra,-21.6403,-41.0511,67.46,70,0,7.99,clear sky
266,Esperance,-33.8667,121.9,53.44,76,90,20.65,overcast clouds
267,Matamoros,25.5333,-103.25,86.11,33,100,0.6,overcast clouds
268,Mogadishu,2.0371,45.3438,76.93,82,100,24.07,overcast clouds
269,Saint Anthony,45.0205,-93.218,88.25,69,1,1.99,clear sky
270,Fortuna,40.5982,-124.1573,65.93,70,20,7.0,few clouds
271,Saint George,37.1041,-113.5841,93.79,35,75,3.0,thunderstorm
272,Longyearbyen,78.2186,15.6401,44.44,87,75,8.05,broken clouds
273,Lyskovo,56.0328,45.0422,51.46,97,15,7.27,few clouds
274,Saint-Augustin,51.226,-58.6502,49.53,90,100,10.92,overcast clouds
275,Kavieng,-2.5744,150.7967,85.3,70,100,14.43,overcast clouds
276,Hualmay,-11.0964,-77.6139,63.23,83,34,10.49,scattered clouds
277,Puerto Ayora,-0.7393,-90.3518,72.55,86,43,3.0,scattered clouds
278,Husavik,66.0449,-17.3389,58.91,81,73,6.04,broken clouds
279,Egvekinot,66.3167,-179.1667,46.72,87,100,4.43,overcast clouds
280,Vostok,46.4856,135.8833,89.73,45,100,3.6,overcast clouds
281,Krasnoselkup,65.7,82.4667,60.42,76,99,14.43,overcast clouds
282,Antalaha,-14.9003,50.2788,67.17,78,52,8.21,light rain
283,Shenjiamen,29.9576,122.298,76.96,94,100,30.51,light rain
284,Cidreira,-30.1811,-50.2056,59.85,81,0,6.62,clear sky
285,Nigran,42.1415,-8.8066,65.17,89,90,1.99,overcast clouds
286,Chuy,-33.6971,-53.4616,58.64,90,11,4.56,few clouds
287,Duki,30.1541,68.5728,83.98,39,85,2.39,overcast clouds
288,Casablanca,33.5928,-7.6192,75.33,73,93,15.99,overcast clouds
289,Cochabamba,-17.3895,-66.1568,62.35,36,20,4.61,few clouds
290,Ferrol,43.4832,-8.2369,64.36,89,48,1.01,scattered clouds
291,Paamiut,61.994,-49.6678,42.37,91,100,12.59,light rain
