City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
108,Gazanjyk,TM,83.3,clear sky,39.2446,55.5154,Railway motel
109,Gidam,IN,74.75,moderate rain,18.9833,81.4,Dhanshree Lodge And DormItory
110,Bethel,US,70.92,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
111,Sao Filipe,CV,73.99,few clouds,14.8961,-24.4956,Hotel Xaguate
113,Puerto Ayora,EC,72.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
121,Axim,GH,75.54,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
125,Syriam,MM,77.11,light rain,16.7722,96.2378,Excel River View
126,Atuona,PF,77.11,scattered clouds,-9.8,-139.0333,Villa Enata
127,Balikpapan,ID,83.39,scattered clouds,-1.2675,116.8289,ibis Balikpapan
131,Jalu,LY,78.19,clear sky,29.0331,21.5482,صاحبة الفخامة
141,Faanui,PF,78.06,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
146,Alta Floresta,BR,73.24,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
147,Thinadhoo,MV,81.95,broken clouds,0.5333,72.9333,
150,Acarau,BR,78.87,scattered clouds,-2.8856,-40.12,castelo pizzaria
154,Alugan,PH,83.7,overcast clouds,12.2188,125.4808,JM Lodge
155,Mount Isa,AU,74.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
156,Port Blair,IN,82.31,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
158,Yinchuan,CN,81.21,scattered clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
159,Gorom-Gorom,BF,84.85,overcast clouds,14.4439,-0.2361,
165,Guerrero Negro,MX,71.71,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
167,Chase,CA,82.4,scattered clouds,50.8165,-119.6857,Chase Country Inn Motel
169,Pundaguitan,PH,84.74,few clouds,6.3711,126.1689,Leonardo Family Beach House 1
171,Mahibadhoo,MV,82.35,broken clouds,3.7833,72.9667,Omadhoo Inn
172,Siuna,NI,74.48,overcast clouds,13.7332,-84.7773,hotel los chinitos
177,Manavalakurichi,IN,78.89,overcast clouds,8.1333,77.3,Udaya Boys Hostel
180,Gwadar,PK,82.11,broken clouds,25.1216,62.3254,Sadaf Resort
181,Champerico,GT,83.73,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
182,Tumaco,CO,76.86,overcast clouds,1.7986,-78.8156,Dafneruben
183,Madang,PG,78.87,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
187,Galle,LK,79.21,broken clouds,6.0367,80.217,Amangalla
190,Campbell River,CA,74.12,broken clouds,50.0163,-125.2446,Ramada by Wyndham Campbell River
192,Ciudad Bolivar,VE,78.49,overcast clouds,8.1222,-63.5497,Hotel Edi
195,Warri,NG,73.17,overcast clouds,5.5167,5.75,BON Hotel Delta
201,Shenjiamen,CN,76.96,light rain,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
203,Point Pedro,LK,83.57,overcast clouds,9.8167,80.2333,Gtr homes
204,Amapa,BR,70.5,few clouds,1.0,-52.0,
