City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Provost,CA,2021-07-23 01:11:39,52.3501,-110.2683,59.52,68,98,13.02
92,Sfantu Gheorghe,RO,2021-07-23 01:11:40,45.8667,25.7833,60.82,77,99,1.03
93,Caala,AO,2021-07-23 01:11:40,-12.8525,15.5606,49.73,26,100,3.4
94,Airai,TL,2021-07-23 01:11:41,-8.9266,125.4092,71.19,27,15,2.59
95,Hasaki,JP,2021-07-23 01:11:41,35.7333,140.8333,88.29,69,91,5.99
96,Namibe,AO,2021-07-23 01:11:41,-15.1961,12.1522,64.87,81,0,4.56
97,Grand-Santi,GF,2021-07-23 01:11:42,4.25,-54.3833,74.52,91,63,2.75
98,Engels,RU,2021-07-23 01:11:42,51.5,46.1167,65.46,81,100,7.0
99,Caravelas,BR,2021-07-23 01:11:43,-17.7125,-39.2481,70.59,64,79,7.96
100,Hambantota,LK,2021-07-23 01:11:43,6.1241,81.1185,80.26,79,100,21.59
101,Nikolskoye,RU,2021-07-23 01:11:43,59.7035,30.7861,60.8,80,100,5.37
102,Rawson,AR,2021-07-23 01:09:02,-43.3002,-65.1023,54.34,42,100,10.4
103,Ayorou,NE,2021-07-23 01:08:09,14.7308,0.9174,90.18,43,86,8.63
104,Klaksvik,FO,2021-07-23 01:11:44,62.2266,-6.589,49.12,92,88,9.82
105,Mount Isa,AU,2021-07-23 01:11:44,-20.7333,139.5,76.77,22,6,9.22
106,Sinnamary,GF,2021-07-23 01:11:45,5.3833,-52.95,78.55,87,67,9.17
107,Moron,AR,2021-07-23 01:08:13,-34.6534,-58.6198,59.97,71,100,1.01
108,Vao,NC,2021-07-23 01:11:45,-22.6667,167.4833,69.28,68,22,4.9
109,Ruteng,ID,2021-07-23 01:11:46,-8.6136,120.4721,69.87,56,9,1.14
110,Avarua,CK,2021-07-23 01:11:46,-21.2078,-159.775,78.85,78,75,11.5
111,Puerto Ayora,EC,2021-07-23 01:11:47,-0.7393,-90.3518,72.55,88,100,5.01
112,Potiskum,NG,2021-07-23 01:08:09,11.7091,11.0694,76.96,76,100,10.89
113,Bukachacha,RU,2021-07-23 01:11:48,52.9833,116.9167,65.86,95,99,1.92
114,Bilma,NE,2021-07-23 01:11:48,18.6853,12.9164,83.05,58,100,13.06
115,Zhigansk,RU,2021-07-23 01:11:48,66.7697,123.3711,65.89,70,100,5.68
116,Goderich,CA,2021-07-23 01:11:49,43.7501,-81.7165,65.91,63,99,1.66
117,Cayenne,GF,2021-07-23 01:07:54,4.9333,-52.3333,80.1,85,9,0.0
118,Luderitz,NA,2021-07-23 01:11:49,-26.6481,15.1594,55.35,35,18,7.31
119,Rocha,UY,2021-07-23 01:11:50,-34.4833,-54.3333,49.82,75,100,7.18
120,Bambous Virieux,MU,2021-07-23 01:06:50,-20.3428,57.7575,70.21,70,30,15.97
121,Thompson,CA,2021-07-23 01:11:50,55.7435,-97.8558,83.89,40,0,11.03
122,Touros,BR,2021-07-23 01:11:50,-5.1989,-35.4608,74.3,83,10,14.14
123,Dabola,GN,2021-07-23 01:11:51,10.75,-11.1167,71.8,97,100,3.69
124,Ubala,CO,2021-07-23 01:11:51,4.7478,-72.5369,71.06,96,100,4.56
125,Beyneu,KZ,2021-07-23 01:08:38,45.3167,55.2,85.51,21,6,13.44
126,Barrow,US,2021-07-23 01:11:52,71.2906,-156.7887,39.22,81,90,13.8
127,Bethel,US,2021-07-23 01:07:09,41.3712,-73.414,73.65,79,20,0.0
128,Plettenberg Bay,ZA,2021-07-23 01:11:52,-34.0527,23.3716,48.63,83,100,3.98
129,Korla,CN,2021-07-23 01:11:53,41.7597,86.1469,88.47,19,99,7.11
