City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
184,Kedrovyy,RU,56.1667,91.8167,68.41,55,44,11.7,scattered clouds
185,Okha,RU,53.5739,142.9478,66.31,85,89,11.9,overcast clouds
186,Mahebourg,MU,-20.4081,57.7,68.25,94,75,5.75,light intensity shower rain
187,Galle,LK,6.0367,80.217,79.21,85,73,11.63,broken clouds
188,Setermoen,NO,68.861,18.3486,46.36,97,100,3.56,overcast clouds
189,Paraiso,CR,9.8383,-83.8656,65.41,93,100,3.38,overcast clouds
190,Campbell River,CA,50.0163,-125.2446,74.12,64,75,4.61,broken clouds
191,Kruisfontein,ZA,-34.0033,24.7314,41.36,81,3,5.77,clear sky
192,Ciudad Bolivar,VE,8.1222,-63.5497,78.49,84,100,6.58,overcast clouds
193,Saldanha,ZA,-33.0117,17.9442,41.05,62,0,9.51,clear sky
194,Peniche,PT,39.3558,-9.3811,64.72,92,64,8.99,broken clouds
195,Warri,NG,5.5167,5.75,73.17,86,87,4.63,overcast clouds
196,Krasnorechenskiy,RU,44.6265,135.3532,92.43,44,15,1.68,few clouds
197,Zyryanskoye,RU,56.8306,86.6258,67.62,69,67,9.48,broken clouds
198,Serpa,PT,37.9458,-7.5975,60.76,68,0,7.09,clear sky
199,Bereda,ES,43.2686,-7.5406,61.41,91,95,6.13,overcast clouds
200,Sandy Bay,AU,-42.913,147.3532,54.27,70,75,3.0,broken clouds
201,Shenjiamen,CN,29.9576,122.298,76.96,94,100,30.51,light rain
202,Antalaha,MG,-14.9003,50.2788,67.17,78,52,8.21,light rain
203,Point Pedro,LK,9.8167,80.2333,83.57,75,100,18.32,overcast clouds
204,Amapa,BR,1.0,-52.0,70.5,94,17,2.68,few clouds
205,Cabo San Lucas,MX,22.8909,-109.9124,93.61,70,0,7.0,clear sky
206,Copiapo,CL,-27.3667,-70.3333,49.69,69,63,0.43,broken clouds
207,Mantua,IT,45.1667,10.7833,76.24,80,100,1.99,overcast clouds
208,Luderitz,NA,-26.6481,15.1594,62.92,24,16,22.44,few clouds
209,Ca Mau,VN,9.1769,105.15,86.36,70,92,10.98,overcast clouds
210,Mahina,PF,-17.5065,-149.489,80.37,61,20,10.36,few clouds
211,Adrar,MR,20.5022,-10.0711,88.32,21,40,13.98,scattered clouds
212,Voh,NC,-20.9667,164.7,82.72,46,5,6.51,clear sky
213,Havoysund,NO,70.9963,24.6622,45.48,88,100,26.08,light rain
214,Balangir,IN,20.7167,83.4833,78.89,85,100,12.28,light rain
215,Camacha,PT,33.0833,-16.3333,68.76,78,40,13.8,scattered clouds
216,Sao Joao Da Barra,BR,-21.6403,-41.0511,67.46,70,0,7.99,clear sky
217,Ilulissat,GL,69.2167,-51.1,44.62,76,75,6.91,broken clouds
218,Tateyama,JP,34.9833,139.8667,90.14,71,18,2.01,few clouds
219,Sitka,US,57.0531,-135.33,57.09,88,90,9.22,light rain
220,Saint-Pierre,RE,-21.3393,55.4781,65.88,61,0,9.22,clear sky
221,Dunedin,NZ,-45.8742,170.5036,52.81,54,14,15.01,few clouds
222,Bakel,SN,14.905,-12.4568,86.29,45,97,11.34,overcast clouds
223,Bowen,AU,-20.0167,148.2333,78.12,61,6,9.4,clear sky
224,Sisimiut,GL,66.9395,-53.6735,41.27,98,100,9.42,heavy intensity rain
225,Hoi An,VN,15.8794,108.335,93.16,58,100,14.72,overcast clouds
226,Mahanoro,MG,-19.9,48.8,62.51,86,4,4.36,clear sky
227,The Valley,AI,18.217,-63.0578,82.26,83,0,22.41,clear sky
228,Le Mars,US,42.7942,-96.1656,82.83,78,1,6.91,clear sky
229,Marzuq,YE,14.4,46.4667,69.69,84,100,6.44,overcast clouds
230,Broome,US,42.2506,-75.833,63.7,92,0,0.81,clear sky
231,Bandar-E Anzali,IR,37.4727,49.4622,84.31,76,27,6.67,scattered clouds
232,Ngunguru,NZ,-35.6167,174.5,57.81,70,12,7.23,few clouds
233,Ormond Beach,US,29.2858,-81.0559,77.02,75,90,0.0,overcast clouds
234,Haines Junction,CA,60.7522,-137.5108,66.15,42,28,11.5,scattered clouds
235,Catemaco,MX,18.4167,-95.1167,72.1,86,71,4.25,broken clouds
236,Dubti,ET,11.7361,41.0853,86.16,51,100,3.29,overcast clouds
237,Santa Maria Da Vitoria,BR,-13.3947,-44.1886,68.47,49,24,4.7,few clouds
238,Rosarito,MX,32.3333,-117.0333,77.63,77,45,5.5,scattered clouds
239,Sembe,CG,1.6481,14.5806,68.95,95,91,2.28,overcast clouds
240,Damara,CF,4.9608,18.7035,76.42,96,46,2.19,light rain
241,Cherskiy,RU,68.75,161.3,53.62,57,97,11.23,overcast clouds
242,Oktyabrskiy,RU,54.4815,53.471,63.41,59,92,2.68,overcast clouds
